"X","salary","pcsalary","sales","roe","pcroe","ros","indus","finance","consprod","utility","lsalary","lsales"
32,427,27,3072.1025,12.400009765625,-17.700009765625,61,1,0,0,0,6.056784,8.030117
33,829,5,1669.10125,17.100009765625,-39.30001953125,64,1,0,0,0,6.72022,7.42004
34,797,-3,2401.20125,16.900009765625,6,39,1,0,0,0,6.680855,7.783724
35,577,23,3043.6025,18.100009765625,-13.5,1,1,0,0,0,6.357842,8.020797
36,1342,7,6222.205,10.900009765625,-6,59,1,0,0,0,7.201916,8.735879
37,1774,0,7727.905,19.300009765625,15.300009765625,19,1,0,0,0,7.480992,8.952593
38,709,11,719.5,18.300009765625,4.60000244140625,65,1,0,0,0,6.563856,6.578557
39,860,28,3921.3025,18.400009765625,34.70001953125,45,1,0,0,0,6.756932,8.274179
40,1336,20,5155.1025,13.800009765625,1.70000122070312,7,1,0,0,0,7.197435,8.547742
41,516,-2,649.2003125,13.700009765625,-10.300009765625,27,1,0,0,0,6.246107,6.475741
42,931,20,10885,12.700009765625,14.5,10,1,0,0,0,6.836259,9.295141
43,815,12,1651.90125,15.100009765625,-2.40000122070313,33,1,0,0,0,6.703188,7.409681
44,1681,20,12915,16.5,-66.7000390625,29,1,0,0,0,7.427144,9.466145
45,568,-36,11436,10.2000048828125,-48.3000390625,-19,1,0,0,0,6.342122,9.344522
46,775,7,2210.30125,19.600009765625,18.900009765625,34,1,0,0,0,6.652863,7.700883
47,1188,9,3737.8025,12.800009765625,32.5,15,1,0,0,0,7.080027,8.226253
48,782,-1,1976.70125,15.900009765625,-0.600000305175781,24,1,0,0,0,6.661855,7.589184
49,1170,0,2576,17.300009765625,-39.10001953125,93,1,0,0,0,7.064759,7.853993
50,1469,8,6309.105,8.5,93.900078125,79,1,0,0,0,7.292337,8.749748
51,916,-1,2940.5,16.400009765625,25.80001953125,105,1,0,0,0,6.820016,7.986335
52,1070,-9,1072.600625,19.5,34.80001953125,269,1,0,0,0,6.975414,6.977841
53,894,1,1534,19.200009765625,-3.70000244140625,74,1,0,0,0,6.795706,7.335634
54,829,-4,2158.80125,15.900009765625,-27.60001953125,-18,1,0,0,0,6.72022,7.677308
55,780,17,1736,19.900009765625,50.7000390625,23,1,0,0,0,6.659294,7.459339
56,2327,10,3598.8025,28.10001953125,-28.30001953125,104,1,0,0,0,7.752335,8.188355
57,717,20,1413.60125,25,-15.800009765625,56,1,0,0,0,6.575076,7.253895
58,1368,9,13538,15,-8.8000048828125,-43,1,0,0,0,7.221105,9.513256
59,2028,185,69018,12.600009765625,2.30000122070313,10,1,0,0,0,7.614805,11.14212
60,1195,2,6285,20.300009765625,6.3000048828125,49,1,0,0,0,7.085901,8.745921
61,256,19,526.3003125,22.70001953125,24.70001953125,175,1,0,0,0,5.545177,6.265872
62,775,-10,3195.6025,14.800009765625,-32.60001953125,12,1,0,0,0,6.652863,8.06953
63,1407,80,2762.8025,13.200009765625,-17.400009765625,28,1,0,0,0,7.249215,7.924
64,543,14,1873.10125,10.300009765625,-45,-58,1,0,0,0,6.297109,7.53535
65,874,-10,4648.1025,17.700009765625,-13.900009765625,-6,1,0,0,0,6.77308,8.444214
66,1287,-3,16951,10,-1,-21,1,0,0,0,7.160069,9.738082
67,1248,16,3506.9025,15.600009765625,5,54,0,1,0,0,7.129298,8.162488
68,875,-19,5333.105,6.8000048828125,27.60001953125,-8,0,1,0,0,6.774224,8.581688
69,925,-3,3296.2025,12.400009765625,-56.9000390625,-21,0,1,0,0,6.829794,8.100526
70,798,-6,2584,13.100009765625,-50.5,10,0,1,0,0,6.682108,7.857094
71,760,14,834.400625,15.800009765625,3,55,0,1,0,0,6.633318,6.726713
72,600,-41,4068.7025,12.800009765625,-32,-6,0,1,0,0,6.39693,8.311079
73,991,18,2518.60125,15.300009765625,13.300009765625,65,0,1,0,0,6.898715,7.831459
74,1570,14,10465,0.5,977,36,0,1,0,0,7.358831,9.255792
75,911,1,2682.4025,16.5,31.5,23,0,1,0,0,6.814543,7.894467
76,1360,12,2688.2025,15.100009765625,23,67,0,1,0,0,7.21524,7.896627
77,700,-53,6682.305,13,5.8000048828125,53,0,1,0,0,6.55108,8.807218
78,741,-50,4879.9025,11.100009765625,-77.7000390625,-26,0,1,0,0,6.608001,8.49288
79,1097,143,2772.1025,8.9000048828125,595.6003125,20,0,1,0,0,7.000334,7.927361
80,953,15,1320.40125,17.5,-4.30000244140625,83,0,1,0,0,6.859615,7.18569
81,441,-7,3408.5,15.900009765625,-10,37,0,1,0,0,6.089045,8.134027
82,595,18,1919.70125,14.200009765625,31.40001953125,61,0,1,0,0,6.388561,7.559924
83,1067,1,19020.5,9.3000048828125,-37.80001953125,4,0,1,0,0,6.972606,9.853272
84,1298,3,4778.3025,9.5,-26.70001953125,-2,0,1,0,0,7.16858,8.47184
85,1798,-31,24332,15.5,-59.5,2,0,1,0,0,7.49443,10.09955
86,4143,-10,2678.4025,14.400009765625,-12.800009765625,42,0,1,0,0,8.329175,7.892975
87,1336,8,4481,11.100009765625,10.800009765625,15,0,1,0,0,7.197435,8.407601
88,1750,11,14932.1,15.900009765625,-7.8000048828125,62,0,1,0,0,7.467371,9.611268
89,912,15,2626.4025,16.400009765625,0.300000152587891,70,0,1,0,0,6.81564,7.873369
90,1892,-16,2659.5,8.6000048828125,-1.40000122070312,126,0,1,0,0,7.54539,7.885893
91,833,19,1073.200625,24.60001953125,14.400009765625,51,0,1,0,0,6.725034,6.9784
92,1142,-12,2577.30125,15.400009765625,-22.40001953125,56,0,1,0,0,7.040536,7.854497
93,1159,13,4293.8025,16.900009765625,2.60000244140625,107,0,1,0,0,7.055313,8.364927
94,1283,16,18164,7.2000048828125,-47.3000390625,14,0,1,0,0,7.156956,9.807197
95,2109,42,9944.405,11.600009765625,-42.2000390625,23,0,1,0,0,7.653969,9.204765
96,1039,-21,12719,26.40001953125,43.4000390625,264,0,1,0,0,6.946014,9.450852
97,992,42,1931.60125,21.40001953125,-9.2000048828125,52,0,1,0,0,6.899723,7.566104
98,1253,4,2993.2025,19.200009765625,1.90000122070312,74,0,1,0,0,7.133296,8.004098
99,721,9,2127.20125,15.100009765625,-22.30001953125,101,0,1,0,0,6.580639,7.662562
100,1351,4,4211.9025,9,-18,-4,0,1,0,0,7.208601,8.345669
101,1391,25,8489.605,9.4000048828125,-27.30001953125,26,0,1,0,0,7.237778,9.046597
102,1245,25,12222.81,19,-20.90001953125,52,0,1,0,0,7.126891,9.411058
103,1550,0,11213.41,3.5,-55.4000390625,6,0,1,0,0,7.34601,9.324864
104,2150,-61,5869.605,22.10001953125,-38,68,0,1,0,0,7.673223,8.677542
105,1846,20,6193.805,10.900009765625,-14.700009765625,6,0,1,0,0,7.520776,8.731304
106,573,8,3053.2025,15.100009765625,-3.80000244140625,31,0,1,0,0,6.350886,8.023946
107,6640,4,8946,10.2000048828125,87.600078125,34,0,1,0,0,8.800867,9.098962
108,959,49,4045.2025,17.300009765625,-7.8000048828125,51,0,1,0,0,6.865891,8.305286
109,612,39,3618.9025,33.30001953125,-10.5,68,0,1,0,0,6.416732,8.193925
110,1820,69,1796.10125,22.80001953125,12.700009765625,115,0,1,0,0,7.506592,7.493373
111,1411,2,6703.105,11.100009765625,-37.20001953125,28,0,1,0,0,7.252054,8.810326
112,1026,6,2170.30125,12.400009765625,134.600078125,162,0,1,0,0,6.933423,7.682621
113,1287,-12,4674,20.90001953125,84.200078125,-47,0,0,0,1,7.160069,8.449771
114,800,162,3372,6.7000048828125,29,60,0,0,0,1,6.684612,8.123261
115,1115,-9,8205,7.1000048828125,13.900009765625,23,0,0,0,1,7.01661,9.012499
116,1631,33,4617,11.800009765625,227,75,0,0,0,1,7.396949,8.4375
117,1910,23,6964,14,2.70000244140625,43,0,0,0,1,7.554859,8.848509
118,996,-3,6623,10.1000048828125,-63.6000390625,10,0,0,1,0,6.903747,8.798304
119,918,-35,29797,6.4000048828125,-95,-28,0,0,1,0,6.822197,10.30216
120,1261,21,5225.5,12.400009765625,-54.9000390625,1,0,0,1,0,7.13966,8.561306
121,1053,-8,3639,17.600009765625,-22.30001953125,5,0,0,1,0,6.959399,8.199464
122,1221,-43,97649.9,15.100009765625,-85.200078125,-7,0,0,1,0,7.107426,11.48914
123,1738,19,10743.61,23.60001953125,11.5,36,0,0,1,0,7.46049,9.282065
124,3142,15,10236.305,35.70001953125,27.20001953125,155,0,0,1,0,8.052615,9.233695
125,1900,26,17802.7,23.20001953125,-7.8000048828125,142,0,0,1,0,7.549609,9.787106
126,427,21,6158.705,12.400009765625,-17.700009765625,95,0,0,1,0,6.056784,8.725621
127,1700,8,6775.205,44.4000390625,37.70001953125,61,0,0,1,0,7.438384,8.821024
128,360,103,298.70015625,2.10000122070312,23.10001953125,302,0,0,1,0,5.886104,5.69944
129,459,9,785.300625,18.400009765625,-43.1000390625,5,0,0,1,0,6.12905,6.666066
130,1340,5,1368.60125,16.100009765625,12.600009765625,115,0,0,1,0,7.200425,7.221544
131,729,25,2066.10125,15.100009765625,-8.4000048828125,52,0,0,1,0,6.591674,7.633418
132,223,-6,181.5,22.70001953125,32.60001953125,295,0,0,1,0,5.407172,5.201256
133,2101,25,10300,23.40001953125,46.9000390625,76,0,0,1,0,7.650169,9.2399
134,1082,28,11232,25.70001953125,-2.40000122070313,101,0,0,1,0,6.986567,9.326522
135,1781,31,5191.6025,27,141,98,0,0,1,0,7.484931,8.554797
136,791,18,976.700625,19.900009765625,-13.200009765625,89,0,0,1,0,6.673298,6.88418
137,2092,-11,7671.5,43.7000390625,8.5,80,0,0,1,0,7.645876,8.945268
138,1573,10,6406,16.400009765625,-11.5,87,0,0,1,0,7.36074,8.764991
139,1045,9,2917.4025,11.600009765625,-98.900078125,203,0,0,1,0,6.951772,7.978448
140,1694,12,3322.9025,24.80001953125,23.90001953125,100,0,0,1,0,7.434848,8.108593
141,453,20,175.20015625,26.20001953125,35.60001953125,418,0,0,1,0,6.115892,5.165928
142,1130,1,1686.30125,44.5,3.40000244140625,99,0,0,1,0,7.029973,7.430292
143,1334,13,514.1003125,22.30001953125,62.4000390625,358,0,0,1,0,7.195937,6.242418
144,1344,13,3032.7025,22.30001953125,62.4000390625,36,0,0,1,0,7.203405,8.017208
145,1585,5,4686.9025,35.10001953125,2.20000122070312,111,0,0,1,0,7.36834,8.452527
146,1946,45,8388.105,13.100009765625,5.9000048828125,88,0,0,1,0,7.573531,9.03457
147,1619,9,7632.805,11,22.60001953125,32,0,0,1,0,7.389564,8.94021
148,1620,12,17453.81,19.400009765625,-12.800009765625,128,0,0,1,0,7.390182,9.767313
149,967,-27,5781.105,28.5,-11,119,0,0,1,0,6.874198,8.66235
150,1431,0,6896.205,43.9000390625,3.5,110,0,0,1,0,7.266129,8.838726
151,1231,9,6503.105,26.80001953125,19.800009765625,84,0,0,1,0,7.115582,8.780034
152,770,-4,2715.6025,15.700009765625,-2.5,63,0,0,1,0,6.64639,7.906768
153,1594,53,2761.9025,15,27.80001953125,85,0,0,1,0,7.374002,7.923674
154,1568,47,5181.4025,28.20001953125,-19.100009765625,55,0,0,1,0,7.357556,8.552831
155,995,15,1323,15.400009765625,74.6000390625,195,0,0,1,0,6.902743,7.187657
156,1077,-16,5296,20,27.5,36,0,0,1,0,6.981935,8.574707
157,1161,9,7177,42.2000390625,-2.80000244140625,68,0,0,1,0,7.057037,8.878636
158,1401,1,12183.5,19.600009765625,-2.10000122070312,93,0,0,1,0,7.244942,9.407838
159,1127,4,7863.5,16.200009765625,26,152,0,0,1,0,7.027315,8.969987
160,3068,-14,3825.6025,21.5,-27.60001953125,142,0,0,1,0,8.028781,8.249471
161,730,7,1110.600625,29.5,20.5,60,0,0,1,0,6.593045,7.012656
162,729,-10,1391.30125,22.60001953125,-17.200009765625,32,0,0,1,0,6.591674,7.237994
163,11233,17,6047.905,22.90001953125,9.9000048828125,74,0,0,1,0,9.326612,8.707466
164,949,-11,18908,13,-46.7000390625,-3,0,0,1,0,6.855409,9.847341
165,3646,-11,3921.5,7.8000048828125,-64.2000390625,29,0,0,1,0,8.201385,8.274229
166,1502,212,3453.8025,48.1000390625,35.10001953125,28,0,0,1,0,7.314553,8.14723
167,807,10,1558.5,18,-1,49,0,0,1,0,6.693324,7.351479
168,713,8,962.800625,18,7.6000048828125,81,0,0,1,0,6.569481,6.869846
169,1489,0,25848,21.70001953125,380.6003125,114,0,0,1,0,7.30586,10.15999
170,736,73,631.5,21.30001953125,60.8000390625,71,0,0,1,0,6.60123,6.448098
171,1226,53,1728.90125,26.90001953125,-7.1000048828125,84,0,0,1,0,7.111512,7.455241
172,543,112,2669.3025,30.5,24.90001953125,323,0,0,1,0,6.297109,7.889572
173,14822,1,2159.20125,19.400009765625,-37.30001953125,17,0,0,1,0,9.603868,7.677493
174,890,-18,2612.60125,15.600009765625,-49,-14,0,0,1,0,6.791222,7.868101
175,1627,6,8270.305,19.400009765625,-3.70000244140625,104,0,0,1,0,7.394493,9.020426
176,2408,28,44323,29.10001953125,9.8000048828125,160,0,0,1,0,7.786552,10.69926
177,2248,6,764.700625,40.80001953125,44.4000390625,191,0,0,1,0,7.717796,6.639483
178,787,20,5167.5,13.700009765625,-4,34,0,0,0,1,6.668228,8.550144
179,474,-5,2159.30125,11.100009765625,-58.2000390625,16,0,0,0,1,6.161207,7.677539
180,439,7,2617.10125,10.800009765625,-16.100009765625,65,0,0,0,1,6.084499,7.869822
181,465,11,2367.70125,5.10000244140625,-25,43,0,0,0,1,6.142037,7.769674
182,594,33,2744,12.300009765625,-12.200009765625,76,0,0,0,1,6.386879,7.917172
183,688,-6,2357.90125,7.4000048828125,-9.7000048828125,33,0,0,0,1,6.533789,7.765527
184,607,12,5262,6.2000048828125,-94.800078125,59,0,0,0,1,6.408529,8.568267
185,634,44,5738.905,12.700009765625,-7,38,0,0,0,1,6.452049,8.655023
186,532,2,2714.9025,10.600009765625,-21.20001953125,35,0,0,0,1,6.276643,7.90651
187,441,39,3306.7025,7.4000048828125,13,150,0,0,0,1,6.089045,8.103706
188,694,18,3532.5,12.600009765625,-13.800009765625,37,0,0,0,1,6.542472,8.169761
189,520,-6,3681.5,12.800009765625,-7.7000048828125,64,0,0,0,1,6.253829,8.211076
190,757,12,3982.1025,2.90000244140625,45.4000390625,197,0,0,0,1,6.629363,8.289565
191,668,30,2996,13.5,-3.30000244140625,81,0,0,0,1,6.504288,8.005033
192,803,18,4178.6025,10.700009765625,-29.90001953125,52,0,0,0,1,6.688354,8.337731
193,500,3,2616.30125,11.900009765625,-1.30000122070313,25,0,0,0,1,6.214608,7.869516
194,552,-5,2064.5,12.900009765625,-16.800009765625,37,0,0,0,1,6.313548,7.632643
195,412,-5,2225.5,10.1000048828125,-27.40001953125,13,0,0,0,1,6.021023,7.707737
196,1100,58,9470.105,7.3000048828125,76.6000390625,82,0,0,0,1,7.003066,9.155894
197,959,26,3783.2025,14.600009765625,5,65,0,0,0,1,6.865891,8.238325
198,333,34,2388.70125,13.800009765625,6.5,59,0,0,0,1,5.808143,7.778504
199,503,-19,3705.2025,8.9000048828125,-96.800078125,29,0,0,0,1,6.22059,8.217492
200,448,-8,1411.70125,14,-33.5,14,0,0,0,1,6.104793,7.25255
201,732,7,4800.1025,12.900009765625,-11.200009765625,36,0,0,0,1,6.59578,8.476392
202,720,8,1771.90125,14.5,13.600009765625,78,0,0,0,1,6.579251,7.479808
203,808,-16,7198.5,14.700009765625,7.4000048828125,49,0,0,0,1,6.694562,8.881628
204,930,10,1509.10125,9,20.5,131,0,0,0,1,6.835185,7.319269
205,525,3,1097.100625,15.5,20.100009765625,72,0,0,0,1,6.263398,7.000426
206,658,32,4542.6025,12.100009765625,-7.8000048828125,68,0,0,0,1,6.489205,8.421255
207,555,6,2023,13.700009765625,-14.600009765625,60,0,0,0,1,6.318968,7.612337
208,626,0,1442.5,14.400009765625,-10.2000048828125,62,0,0,0,1,6.439351,7.274133
